site_id,rma_date,rma_count,rolling_mean,rolling_std,deviation,pct_change,z_score,severity,region,site_type,country,operator,week_number,year,consecutive_count
ST-00001,2023-01-09,1,0.0,0.5,1.0,10000.0,2.0,Normal,EMEA,Cell Site,Italy,Three,2,2023,0
ST-00001,2023-02-20,1,0.0,0.5,1.0,10000.0,2.0,Normal,EMEA,Cell Site,Italy,Three,8,2023,0
ST-00001,2023-04-03,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,14,2023,0
ST-00001,2023-04-24,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,17,2023,0
ST-00001,2023-05-01,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,18,2023,0
ST-00001,2023-07-17,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,29,2023,0
ST-00001,2023-09-11,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,37,2023,0
ST-00001,2023-12-04,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,49,2023,0
ST-00001,2023-12-11,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,50,2023,0
ST-00001,2024-01-01,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,1,2024,0
ST-00001,2024-02-19,1,1.0,0.5,0.0,0.0,0.0,Normal,EMEA,Cell Site,Italy,Three,8,2024,0
ST-00001,2024-04-15,2,1.0,0.5,1.0,99.0,2.0,High,EMEA,Cell Site,Italy,Three,16,2024,0
ST-00001,2024-08-05,1,1.25,0.5,-0.25,-19.8,-0.5,Normal,EMEA,Cell Site,Italy,Three,32,2024,0
ST-00001,2024-08-12,1,1.25,0.5,-0.25,-19.8,-0.5,Normal,EMEA,Cell Site,Italy,Three,33,2024,0
